name,team,bye,projected,pos
Lamar Jackson,BAL,7,355.0,QB
Patrick Mahomes,KC,10,330.2,QB
Dak Prescott,DAL,10,323.6,QB
Russell Wilson,SEA,6,310.1,QB
Kyler Murray,ARI,8,301.5,QB
Deshaun Watson,HOU,8,299.6,QB
Josh Allen,BUF,11,296.4,QB
Carson Wentz,PHI,9,287.8,QB
Matt Ryan,ATL,10,286.8,QB
Drew Brees,NO,6,281.8,QB
Aaron Rodgers,GB,5,276.6,QB
Matthew Stafford,DET,5,271.1,QB
Tom Brady,TB,13,258.1,QB
Jared Goff,LAR,9,256.8,QB
Cam Newton,NE,5,255.3,QB
Gardner Minshew,JAC,8,255.1,QB
Daniel Jones,NYG,11,249.8,QB
Ryan Tannehill,TEN,4,249.1,QB
Kirk Cousins,MIN,7,243.2,QB
Jimmy Garoppolo,SF,11,237.7,QB
Ben Roethlisberger,PIT,4,237.5,QB
Joe Burrow,CIN,9,235.0,QB
Drew Lock,DEN,5,230.4,QB
Baker Mayfield,CLE,9,229.0,QB
Philip Rivers,IND,7,225.1,QB
Teddy Bridgewater,CAR,13,216.5,QB
Derek Carr,LV,6,214.9,QB
Sam Darnold,NYJ,10,211.0,QB
Dwayne Haskins,WAS,8,186.9,QB
Tyrod Taylor,LAC,6,171.5,QB
Ryan Fitzpatrick,MIA,7,155.5,QB
Nick Foles,CHI,11,152.7,QB
Tua Tagovailoa,MIA,7,112.8,QB
Mitchell Trubisky,CHI,11,90.6,QB
Justin Herbert,LAC,6,83.8,QB
Marcus Mariota,LV,6,34.1,QB
Jarrett Stidham,NE,5,28.3,QB
Jalen Hurts,PHI,9,26.7,QB
Taysom Hill,NO,6,25.8,QB
Mason Rudolph,PIT,4,20.8,QB
Will Grier,CAR,13,20.8,QB
Alex Smith,WAS,8,18.6,QB
Jake Luton,JAC,8,15.2,QB
Jordan Love,GB,5,13.6,QB
Colt McCoy,NYG,11,13.5,QB
Ryan Finley,CIN,9,13.2,QB
Sean Mannion,MIN,7,13.1,QB
Jeff Driskel,DEN,5,11.2,QB
AJ McCarron,HOU,8,11.0,QB
Case Keenum,CLE,9,10.7,QB
