name,team,bye,projected,pos
Lamar Jackson,BAL,7,367.0,QB
Patrick Mahomes,KC,10,339.2,QB
Dak Prescott,DAL,10,335.6,QB
Russell Wilson,SEA,6,318.1,QB
Kyler Murray,ARI,8,314.5,QB
Deshaun Watson,HOU,8,312.6,QB
Josh Allen,BUF,11,307.4,QB
Matt Ryan,ATL,10,299.8,QB
Carson Wentz,PHI,9,294.8,QB
Drew Brees,NO,6,289.8,QB
Aaron Rodgers,GB,5,282.6,QB
Matthew Stafford,DET,5,282.1,QB
Jared Goff,LAR,9,270.8,QB
Tom Brady,TB,13,268.1,QB
Cam Newton,NE,5,267.3,QB
Gardner Minshew,JAC,8,266.1,QB
Daniel Jones,NYG,11,263.8,QB
Ryan Tannehill,TEN,4,260.1,QB
Kirk Cousins,MIN,7,252.2,QB
Joe Burrow,CIN,9,252.0,QB
Ben Roethlisberger,PIT,4,251.5,QB
Jimmy Garoppolo,SF,11,249.7,QB
Baker Mayfield,CLE,9,244.0,QB
Drew Lock,DEN,5,242.4,QB
Philip Rivers,IND,7,241.1,QB
Teddy Bridgewater,CAR,13,231.5,QB
Sam Darnold,NYJ,10,225.0,QB
Derek Carr,LV,6,224.9,QB
Dwayne Haskins,WAS,8,198.9,QB
Tyrod Taylor,LAC,6,178.5,QB
Ryan Fitzpatrick,MIA,7,166.5,QB
Nick Foles,CHI,11,161.7,QB
Tua Tagovailoa,MIA,7,118.8,QB
Mitchell Trubisky,CHI,11,96.6,QB
Justin Herbert,LAC,6,89.8,QB
Marcus Mariota,LV,6,36.1,QB
Jarrett Stidham,NE,5,30.3,QB
Jalen Hurts,PHI,9,26.7,QB
Taysom Hill,NO,6,25.8,QB
Mason Rudolph,PIT,4,21.8,QB
Will Grier,CAR,13,21.8,QB
Alex Smith,WAS,8,18.6,QB
Jake Luton,JAC,8,17.2,QB
Colt McCoy,NYG,11,14.5,QB
Sean Mannion,MIN,7,14.1,QB
Jordan Love,GB,5,13.6,QB
Jeff Driskel,DEN,5,13.2,QB
Ryan Finley,CIN,9,13.2,QB
AJ McCarron,HOU,8,12.0,QB
Case Keenum,CLE,9,11.7,QB
Logan Woodside,TEN,4,10.3,QB
Robert Griffin III,BAL,7,10.1,QB
Blaine Gabbert,TB,13,9.7,QB
Matt Barkley,BUF,11,8.7,QB
Jameis Winston,NO,6,6.8,QB
Nick Mullens,SF,11,6.4,QB
Chase Daniel,DET,5,5.8,QB
Andy Dalton,DAL,10,4.2,QB
Chad Henne,KC,10,3.3,QB
Christian McCaffrey,CAR,13,340.0,RB
Dalvin Cook,MIN,7,280.6,RB
Saquon Barkley,NYG,11,277.7,RB
Ezekiel Elliott,DAL,10,277.7,RB
Derrick Henry,TEN,4,257.0,RB
Alvin Kamara,NO,6,251.5,RB
Clyde Edwards-Helaire,KC,10,233.5,RB
Aaron Jones,GB,5,227.9,RB
Joe Mixon,CIN,9,223.6,RB
Kenyan Drake,ARI,8,220.4,RB
Miles Sanders,PHI,9,220.1,RB
Todd Gurley,ATL,10,211.4,RB
Austin Ekeler,LAC,6,209.5,RB
Nick Chubb,CLE,9,204.5,RB
Josh Jacobs,LV,6,204.4,RB
Chris Carson,SEA,6,201.2,RB
James Conner,PIT,4,200.1,RB
David Johnson,HOU,8,196.8,RB
Le'Veon Bell,NYJ,10,188.1,RB
Melvin Gordon,DEN,5,170.9,RB
Mark Ingram,BAL,7,164.7,RB
Antonio Gibson,WAS,8,161.4,RB
Leonard Fournette,TB,13,157.5,RB
Jonathan Taylor,IND,7,151.2,RB
Cam Akers,LAR,9,150.5,RB
James White,NE,5,148.7,RB
Raheem Mostert,SF,11,146.1,RB
Kareem Hunt,CLE,9,145.7,RB
Devin Singletary,BUF,11,144.3,RB
Tevin Coleman,SF,11,140.6,RB
David Montgomery,CHI,11,136.7,RB
Tarik Cohen,CHI,11,136.4,RB
D'Andre Swift,DET,5,134.2,RB
Matt Breida,MIA,7,131.1,RB
Marlon Mack,IND,7,129.8,RB
Phillip Lindsay,DEN,5,129.2,RB
Duke Johnson,HOU,8,126.8,RB
J.K. Dobbins,BAL,7,114.9,RB
Latavius Murray,NO,6,112.9,RB
Kerryon Johnson,DET,5,110.7,RB
Jordan Howard,MIA,7,108.8,RB
Chris Thompson,JAC,8,107.4,RB
Ronald Jones,TB,13,102.1,RB
Zack Moss,BUF,11,99.5,RB
Boston Scott,PHI,9,93.1,RB
Nyheim Hines,IND,7,90.9,RB
Jamaal Williams,GB,5,89.4,RB
Chase Edmonds,ARI,8,85.1,RB
Darrynton Evans,TEN,4,84.8,RB
Alexander Mattison,MIN,7,84.4,RB
Damien Harris,NE,5,82.2,RB
Jalen Richard,LV,6,81.9,RB
Darrell Henderson,LAR,9,81.1,RB
Tony Pollard,DAL,10,81.0,RB
Sony Michel,NE,5,80.3,RB
Darrel Williams,KC,10,79.6,RB
Justin Jackson,LAC,6,78.4,RB
AJ Dillon,GB,5,78.0,RB
Adrian Peterson,DET,5,75.2,RB
Giovani Bernard,CIN,9,74.7,RB
Ryquell Armstead,JAC,8,69.0,RB
Anthony McFarland Jr.,PIT,4,68.8,RB
Dion Lewis,NYG,11,68.4,RB
Malcolm Brown,LAR,9,67.1,RB
Devine Ozigbo,JAC,8,66.3,RB
Brian Hill,ATL,10,63.5,RB
Carlos Hyde,SEA,6,63.5,RB
Peyton Barber,WAS,8,63.2,RB
Rex Burkhead,NE,5,59.6,RB
Joshua Kelley,LAC,6,59.5,RB
James Robinson,JAC,8,59.3,RB
Benny Snell,PIT,4,57.1,RB
Royce Freeman,DEN,5,56.2,RB
Jerick McKinnon,SF,11,54.2,RB
Jaylen Samuels,PIT,4,50.1,RB
Frank Gore,NYJ,10,48.1,RB
Lynn Bowden Jr.,MIA,7,44.1,RB
Mike Davis,CAR,13,43.5,RB
Rashaad Penny,SEA,6,37.6,RB
Ito Smith,ATL,10,34.3,RB
La'Mical Perine,NYJ,10,34.3,RB
LeSean McCoy,TB,13,31.0,RB
Mike Boone,MIN,7,29.0,RB
Travis Homer,SEA,6,28.9,RB
Bryce Love,WAS,8,27.8,RB
Gus Edwards,BAL,7,26.2,RB
Corey Clement,PHI,9,24.9,RB
Darwin Thompson,KC,10,23.3,RB
Justice Hill,BAL,7,22.5,RB
Jeff Wilson,SF,11,22.3,RB
Ryan Nall,CHI,11,21.9,RB
Tyler Ervin,GB,5,19.3,RB
Patrick Laird,MIA,7,18.9,RB
T.J. Yeldon,BUF,11,18.8,RB
DeeJay Dallas,SEA,6,15.1,RB
Ke'Shawn Vaughn,TB,13,14.1,RB
Trayveon Williams,CIN,9,13.7,RB
Khari Blasingame,TEN,4,13.4,RB
D'Ernest Johnson,CLE,9,12.5,RB
Wayne Gallman,NYG,11,11.1,RB
Eno Benjamin,ARI,8,11.0,RB
Buddy Howell,HOU,8,10.5,RB
Ty Montgomery,NO,6,10.2,RB
Jordan Wilkins,IND,7,7.3,RB
Qadree Ollison,ATL,10,6.9,RB
Michael Thomas,NO,6,266.8,WR
Davante Adams,GB,5,242.2,WR
Julio Jones,ATL,10,231.1,WR
DeAndre Hopkins,ARI,8,208.0,WR
Tyreek Hill,KC,10,203.4,WR
Kenny Golladay,DET,5,199.9,WR
