name,team,bye,CBSprojected,pos,ESPNprojected,NFLprojected,YAHOOprojected
Lamar Jackson,BAL,7,415.0,QB,355.0,355.0,367.0
Patrick Mahomes,KC,10,398.2,QB,330.2,330.2,339.2
Dak Prescott,DAL,10,379.6,QB,323.6,323.6,335.6
Russell Wilson,SEA,6,370.1,QB,310.1,310.1,318.1
Kyler Murray,ARI,8,351.5,QB,301.5,301.5,314.5
Deshaun Watson,HOU,8,349.6,QB,299.6,299.6,312.6
Drew Brees,NO,6,345.8,QB,296.4,296.4,307.4
Matt Ryan,ATL,10,342.8,QB,287.8,287.8,299.8
Josh Allen,BUF,11,340.4,QB,286.8,286.8,294.8
Carson Wentz,PHI,9,339.8,QB,281.8,281.8,289.8
Aaron Rodgers,GB,5,328.6,QB,276.6,276.6,282.6
Matthew Stafford,DET,5,327.1,QB,271.1,271.1,282.1
Tom Brady,TB,13,312.1,QB,258.1,258.1,270.8
Jared Goff,LAR,9,306.8,QB,256.8,256.8,268.1
Gardner Minshew,JAC,8,301.1,QB,255.3,255.3,267.3
Daniel Jones,NYG,11,299.8,QB,255.1,255.1,266.1
Cam Newton,NE,5,299.3,QB,249.8,249.8,263.8
Ryan Tannehill,TEN,4,297.1,QB,249.1,249.1,260.1
Kirk Cousins,MIN,7,293.2,QB,243.2,243.2,252.2
Ben Roethlisberger,PIT,4,291.5,QB,237.7,237.7,252.0
Jimmy Garoppolo,SF,11,289.7,QB,237.5,237.5,251.5
Joe Burrow,CIN,9,281.0,QB,235.0,235.0,249.7
Baker Mayfield,CLE,9,277.0,QB,230.4,230.4,244.0
Drew Lock,DEN,5,274.4,QB,229.0,229.0,242.4
Philip Rivers,IND,7,273.1,QB,225.1,225.1,241.1
Teddy Bridgewater,CAR,13,260.5,QB,216.5,216.5,231.5
Sam Darnold,NYJ,10,255.0,QB,214.9,214.9,225.0
Derek Carr,LV,6,254.9,QB,211.0,211.0,224.9
Dwayne Haskins,WAS,8,218.9,QB,186.9,186.9,198.9
Tyrod Taylor,LAC,6,199.5,QB,171.5,171.5,178.5
Nick Foles,CHI,11,186.7,QB,155.5,155.5,166.5
Ryan Fitzpatrick,MIA,7,185.5,QB,152.7,152.7,161.7
Tua Tagovailoa,MIA,7,130.8,QB,112.8,112.8,118.8
Mitchell Trubisky,CHI,11,106.6,QB,90.6,90.6,96.6
Justin Herbert,LAC,6,97.8,QB,83.8,83.8,89.8
Marcus Mariota,LV,6,42.1,QB,34.1,34.1,36.1
Jarrett Stidham,NE,5,34.3,QB,28.3,28.3,30.3
Jalen Hurts,PHI,9,28.7,QB,26.7,26.7,26.7
Taysom Hill,NO,6,25.8,QB,25.8,25.8,25.8
Mason Rudolph,PIT,4,24.8,QB,20.8,20.8,21.8
Will Grier,CAR,13,24.8,QB,20.8,20.8,21.8
Alex Smith,WAS,8,22.6,QB,18.6,18.6,18.6
Jake Luton,JAC,8,17.2,QB,15.2,15.2,17.2
Jordan Love,GB,5,15.6,QB,13.6,13.6,14.5
Colt McCoy,NYG,11,15.5,QB,13.5,13.5,14.1
Ryan Finley,CIN,9,15.2,QB,13.2,13.2,13.6
Sean Mannion,MIN,7,15.1,QB,13.1,13.1,13.2
Jeff Driskel,DEN,5,13.2,QB,11.2,11.2,13.2
AJ McCarron,HOU,8,13.0,QB,11.0,11.0,12.0
Case Keenum,CLE,9,12.7,QB,10.7,10.7,11.7
Blaine Gabbert,TB,13,11.7,QB,9.7,9.7,10.3
Logan Woodside,TEN,4,11.3,QB,9.3,9.3,10.1
Robert Griffin III,BAL,7,11.1,QB,9.1,9.1,9.7
Matt Barkley,BUF,11,9.7,QB,7.7,7.7,8.7
Jameis Winston,NO,6,6.8,QB,6.8,6.8,6.8
Chase Daniel,DET,5,5.8,QB,5.8,5.8,6.4
Nick Mullens,SF,11,5.4,QB,5.4,5.4,5.8
Andy Dalton,DAL,10,4.2,QB,4.2,4.2,4.2
Chad Henne,KC,10,3.3,QB,3.3,3.3,3.3
Christian McCaffrey,CAR,13,286.5,RB,286.5,286.5,340.0
Dalvin Cook,MIN,7,249.1,RB,249.1,249.1,280.6
Ezekiel Elliott,DAL,10,248.2,RB,248.2,248.2,277.7
Saquon Barkley,NYG,11,245.7,RB,245.7,245.7,277.7
Derrick Henry,TEN,4,245.5,RB,245.5,245.5,257.0
Alvin Kamara,NO,6,210.5,RB,210.5,210.5,251.5
Clyde Edwards-Helaire,KC,10,205.0,RB,205.0,205.0,233.5
Aaron Jones,GB,5,202.4,RB,202.4,202.4,227.9
Joe Mixon,CIN,9,201.1,RB,201.1,201.1,223.6
Kenyan Drake,ARI,8,192.9,RB,192.9,192.9,220.4
Miles Sanders,PHI,9,192.1,RB,192.1,192.1,220.1
Josh Jacobs,LV,6,190.9,RB,190.9,190.9,211.4
Nick Chubb,CLE,9,190.0,RB,190.0,190.0,209.5
